iter	Passed	Remaining
0	159	47721
1	164	24542
2	169	16775
3	178	13192
4	187	11039
5	194	9540
6	200	8374
7	204	7467
8	209	676699	213	619710	220	5788
11	231	5559
12	240	5310
13	248	5079
14	258	4904
15	265	4709
16	281	4682
17	290	4553
18	296	4388
19	305	4280
20	313	4169
21	328	4152
22	342	4126
23	367	4223
24	391	4301
25	402	4241
26	413	4183
27	427	4151
28	435	4066
29	443	3991
30	451	3914
31	459	3847
32	467	3781
33	475	3721
34	483	3660
35	490	3595
36	496	3531
37	505	3483
38	514	3444
39	523	3401
40	530	3351
41	540	3317
42	549	3287
43	557	3246
44	567	3213
45	575	3176
46	584	3148
47	606	3184
48	613	3141
49	625	3129
50	633	3091
51	645	3079
52	656	3060
53	665	3032
54	690	3076
55	705	3074
56	727	3102
57	743	3100
58	755	3086
59	767	3069
60	776	3043
61	786	3017
62	798	3003
63	815	3006
64	830	3004
65	839	2977
66	846	2944
67	853	2911
68	867	2905
69	881	2895
70	894	2885
71	907	2873
72	920	2862
73	929	2839
74	938	2815
75	957	2822
76	963	2790
77	969	2760
78	981	2745
79	990	2722
80	999	2701
81	1010	2687
82	1022	2674
83	1035	2663
84	1045	2643
85	1058	2633
86	1067	2614
87	1077	2596
88	1087	2579
89	1100	2567
90	1110	2550
91	1121	2535
92	1134	2525
93	1153	2527
94	1161	2506
95	1171	2488
96	1189	2490
97	1205	2484
98	1218	2474
99	1236	2472
100	1258	2480
101	1276	2478
102	1287	2462
103	1302	2455
104	1310	2434
105	1327	2429
106	1343	2422
107	1364	2425
108	1377	2413
109	1407	2431
110	1425	2426
111	1482	2487
112	1494	2473
113	1532	2499
114	1547	2489
115	1571	2493
116	1584	2478
117	1611	2485
118	1631	2481
119	1651	2476
120	1657	2451
121	1664	2428
122	1675	2410
123	1685	2392
124	1700	2380
125	1713	2366
126	1727	2352
127	1738	2335
128	1750	2320
129	1760	2301
130	1766	2278
131	1774	2258
132	1782	2238
133	1788	2216
134	1804	2206
135	1813	2186
136	1833	2181
137	1846	2167
138	1858	2152
139	1881	2150
140	1905	2148
141	1919	2136
142	1948	2139
143	1975	2140
144	1986	2123
145	2000	2110
146	2013	2095
147	2033	2088
148	2041	2069
149	2051	2051
150	2060	2033
151	2067	2013
152	2075	1994
153	2084	1976
154	2092	1957
155	2099	1937
156	2105	1917
157	2112	1898
158	2120	1880
159	2127	1861
160	2133	1841
161	2138	1821
162	2143	1801
163	2149	1782
164	2155	1763
165	2160	1743
166	2164	1724
167	2170	1705
168	2176	1687
169	2180	1667
170	2185	1649
171	2191	1630
172	2197	1613
173	2204	1596
174	2209	1578
175	2214	1560
176	2221	1543
177	2226	1525
178	2231	1508
179	2237	1491
180	2242	1474
181	2246	1456
182	2251	1439
183	2255	1422
184	2260	1405
185	2265	1388
186	2270	1371
187	2275	1355
188	2280	1339
189	2287	1324
190	2291	1307
191	2296	1291
192	2302	1276
193	2306	1260
194	2310	1244
195	2315	1228
196	2320	1213
197	2326	1198
198	2332	1183
199	2336	1168
200	2341	1153
201	2347	1138
202	2352	1124
203	2356	1109
204	2362	1095
205	2367	1080
206	2372	1065
207	2378	1051
208	2382	1037
209	2387	1023
210	2392	1008
211	2398	995
212	2403	981
213	2412	969
214	2418	956
215	2424	942
216	2429	929
217	2436	916
218	2441	902
219	2446	889
220	2450	876
221	2459	864
222	2464	850
223	2469	837
224	2472	824
225	2479	811
226	2483	798
227	2487	785
228	2493	772
229	2498	760
230	2502	747
231	2507	734
232	2511	722
233	2515	709
234	2519	696
235	2524	684
236	2528	672
237	2533	659
238	2536	647
239	2541	635
240	2545	623
241	2549	611
242	2552	598
243	2557	586
244	2560	574
245	2564	563
246	2568	551
247	2573	539
248	2576	527
249	2580	516
250	2584	504
251	2589	493
252	2592	481
253	2596	470
254	2600	458
255	2605	447
256	2610	436
257	2613	425
258	2617	414
259	2621	403
260	2625	392
261	2629	381
262	2633	370
263	2638	359
264	2642	348
265	2646	338
266	2650	327
267	2655	317
268	2658	306
269	2663	295
270	2667	285
271	2671	274
272	2675	264
273	2678	254
274	2682	243
275	2686	233
276	2690	223
277	2693	213
278	2697	203
279	2702	193
280	2705	182
281	2709	172
282	2713	163
283	2717	153
284	2721	143
285	2725	133
286	2729	123
287	2734	113
288	2739	104
289	2742	94
290	2746	84
291	2751	75
292	2756	65
293	2759	56
294	2763	46
295	2773	37
296	2777	28
297	2783	18
298	2787	9
299	2792	0
